Theta,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360
0,149.668076,149.668076,149.668076,149.668076,149.668076,149.668076,149.668076,149.668076,149.668076,149.668076,149.668076,149.668076,149.668076,149.668076,149.668076,149.668076,149.668076,149.668076,149.668076,149.668076,149.668076,149.668076,149.668076,149.668076,149.668076,149.668076,149.668076,149.668076,149.668076,149.668076,149.668076,149.668076,149.668076,149.668076,149.668076,149.668076,149.668076
10,149.954071,149.91832,150.615448,150.043442,149.855759,150.660141,150.552887,150.481384,150.293701,151.115952,151.053391,150.856766,151.115952,150.812073,150.812073,150.651199,150.490326,150.016632,149.417816,149.274811,149.927261,150.695892,151.285767,152.027573,152.894516,152.760452,152.197388,152.697891,151.366196,151.401947,151.83989,150.838882,150.409882,149.927261,150.74057,150.579697,149.954071
20,148.559814,148.568756,149.078186,149.399948,150.59758,151.81308,152.483398,153.725708,154.315582,154.270905,153.725708,154.101089,153.904465,153.3414,155.540039,152.858765,152.814087,150.543945,150.445633,150.946136,151.071259,151.661133,151.911392,151.56282,152.653214,152.867706,153.350342,153.39502,153.520142,153.70784,152.948151,152.501266,152.304642,151.017639,150.329453,149.391006,148.559814
30,136.091949,134.688751,132.221985,140.989716,142.482285,142.294601,144.975861,146.611435,145.976868,144.54686,145.994736,144.770294,142.080093,140.784149,139.738464,138.58551,138.058197,137.807953,137.271698,137.664948,137.387894,138.46933,139.935089,141.463409,141.248901,140.694778,140.408768,140.060211,141.257843,141.347214,140.802032,139.702713,140.230026,138.433578,137.450455,137.298508,136.091949
40,104.899925,105.525551,103.478851,109.12738,110.432259,111.343887,111.272392,112.890083,112.979462,112.219772,111.692451,111.245575,110.119446,108.564316,107.14325,105.194862,104.73011,103.005165,102.0131,102.290161,103.639732,104.36367,105.355736,106.526558,106.973434,107.545433,107.706314,103.085602,104.274292,108.769882,108.609001,108.278313,109.833443,106.732117,106.034988,104.837364,104.899925
50,70.186516,71.839958,72.858841,75.397102,75.334534,76.398102,76.782417,76.585793,75.772476,76.666229,76.326607,76.040604,75.87973,74.896599,73.555969,70.964081,69.22126,67.496315,67.460564,68.622444,69.453636,71.500328,72.474525,73.359337,73.573837,73.25209,74.262032,74.306717,75.057472,75.316658,75.835037,76.103165,75.030663,73.484467,71.991898,70.812141,70.186516
60,46.537777,48.066097,50.068108,51.623238,54.545815,54.858627,54.939068,54.098938,53.821873,54.501129,54.295563,54.983753,54.134689,52.919182,50.961861,48.218037,45.885338,44.473206,44.044205,45.009457,46.198151,49.531853,50.8993,52.123741,52.64212,52.302494,52.695744,53.14262,53.500122,54.420689,54.679878,54.304501,53.11581,50.809921,48.477226,47.234905,46.537777
70,31.647835,32.836529,35.383728,38.476116,40.156372,41.765129,41.791943,41.523819,41.80088,41.032253,42.024319,41.613194,41.050129,39.637997,37.484047,35.803791,31.95171,30.548517,29.940763,30.164202,32.881214,35.642914,38.529739,40.344063,40.478127,39.959747,40.89819,40.263622,41.827694,41.881317,41.890255,40.612186,39.057056,36.617107,33.917969,31.978523,31.647835
80,18.295147,19.296152,20.97641,24.703365,27.643816,29.878201,30.86133,31.254581,31.352896,30.977518,31.263519,31.567396,29.851389,28.144318,25.230679,23.33592,20.332907,17.928707,17.88402,18.893963,21.092598,23.675547,26.696436,29.207886,28.966572,29.547512,29.985451,30.021202,30.682579,31.236708,30.101639,29.029135,26.669624,24.524614,20.645721,18.8314,18.295147
